response_ID,Stadsdeel,Contact_gehad,freqcontact,Categorie_contact,Totstand,polben_Controlestraat,polben_Controleverkeer,polben_Verkeerdstraat,polben_Verkeerdverkeer,polben_Praatje,polben_Anders,polben_geenantwoord,Polben_hulp,Polben_thuis,Polben_uiterlijk,Polben_overig,Polben_bevragen,Polben_verdacht,Polben_locatie,Polben_aansprekenvriend,Polben_informatiegeven,Polben_teruggeven,Polben_verkeersongeval,Polben_arrestatie,stel_terecht,Onterecht_niksverkeerd,Onterecht_etniciteit,Onterecht_onschuldig,Onterecht_niksverkeerdverkeer,Onterecht_nietenige,Onterecht_Overig,Onterecht_onterecht,Onterecht_onduidelijk,Onterecht_overlast,Onterecht_nietingevuld,Onterecht_onbeleefdagent,stel_achtergrond,polben_gevolg_niets,polben_gevolg_waarschuwing,polben_gevolg_bekeuring,polben_gevolg_anders,polben_gevolg_nvt,polben_gevolg_geenantwoord,polben_gevolg_praatjemaken,polben_gevolg_controle,polben_gevolg_info,polben_gevolg_weggerend,polben_gevolg_staande,polben_gevolg_beslag,pobent_gevolg_overig,pobent_gevolg_hulp,waarom_zelfben,stel_beleefd,stel_luisteren,stel_rechtvaardig,rapportcijfer,Geslacht,Leeftijd,Leeftijdscategorie,Herkomst_def,opleidingnu_nee,opleidingnu_LBO_VMBO,opleidingnu_MAVO_VMBO_ULO_MULO,opleidingnu_HAVO_VWO_HBS_MMS,opleidingnu_MBO_BOL_BBL,opleidingnu_HBO,opleidingnu_WO,opleidingnu_anders,opleidingnu_nietzeggen,opleidingnu_geenantwoord,hoogstafgerond,stel_rondkomen
50079621,Noord,Ja,20,7-30 contact,De respondent heeft deze vraag niet beantwoord,99999,99999,99999,99999,99999,"Anders, namelijk.....",99999,0,0,0,Overig,0,0,0,0,0,0,0,99999,"Niet terecht, niet onterecht",99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,Niet mee eens en niet mee oneens,Niets,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,Geen antwoord,Geen antwoord,Geen antwoord,10,Man,62,50 tot 64,Nederlands,Nee,99999,99999,99999,99999,99999,99999,99999,99999,99999,"Mavo, VMBO-T of gemengde leerweg, ULO, MULO",Helemaal mee eens
49907775,Zuidoost,Ja,4,4-6 contact,De politie kwam naar mij toe,0,0,0,0,0,"Anders, namelijk.....",0,0,0,0,0,0,0,Ik was toevallig op een plek waar de politie onderzoek deed,0,0,0,0,99999,Onterecht,0,vanwege mijn huidskleur,0,0,0,0,0,0,0,0,0,Helemaal mee eens,0,Waarschuwing,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,Niet mee eens en niet mee oneens,Mee oneens,Niet mee eens en niet mee oneens,4,Man,99999,99999.00,Overig niet-Westers,99999,99999,99999,"Havo, VWO, HBS, MMS",99999,99999,99999,99999,99999,99999,"Havo, VWO, HBS, MMS",Geen antwoord
50079984,Zuidoost,Ja,1,1-3 contact,De politie kwam naar mij toe,0,0,0,0,0,"Anders, namelijk.....",0,0,0,0,0,0,0,0,0,0,Om iets terug te geven,0,99999,"Niet terecht, niet onterecht",99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,Niet mee eens en niet mee oneens,0,0,0,"Anders, namelijk....",0,0,0,0,0,0,0,0,Overig,0,99999,Mee eens,Geen antwoord,Geen antwoord,4,Vrouw,99999,99999.00,Surinaams,99999,99999,99999,99999,99999,99999,WO,99999,99999,99999,HBO,Geen antwoord
50558233,Zuid,Ja,1,1-3 contact,De politie kwam naar mij toe,0,0,0,0,0,"Anders, namelijk.....",0,0,Om mij thuis op iets aan te spreken,0,0,0,0,0,0,0,0,0,99999,Zeer terecht,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,Helemaal mee oneens,0,Waarschuwing,0,"Anders, namelijk....",0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,Geen antwoord,Helemaal mee oneens,Helemaal mee oneens,7,Vrouw,64,50 tot 64,Onbekend,99999,99999,99999,99999,99999,99999,99999,99999,Wil ik niet zeggen,99999,WO,Helemaal mee oneens
50158833,Zuidoost,Ja,1,1-3 contact,De politie kwam naar mij toe,0,0,0,0,0,"Anders, namelijk.....",0,0,0,0,0,0,0,0,0,Om informatie te geven,0,0,99999,Geen antwoord,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,Mee oneens,0,0,0,"Anders, namelijk....",0,0,Praatje maken,0,0,0,0,0,0,0,99999,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,8,Vrouw,62,50 tot 64,Surinaams,99999,99999,99999,99999,99999,99999,99999,"Anders, namelijk…",99999,99999,"Havo, VWO, HBS, MMS",Beetje mee eens
50255814,Noord,Ja,99999,99999,De politie kwam naar mij toe,0,0,0,0,0,"Anders, namelijk.....",0,0,0,0,0,0,0,0,0,0,Om iets terug te geven,0,99999,Zeer terecht,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,Helemaal mee oneens,0,0,0,0,Niet van toepassing,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,6,Vrouw,59,50 tot 64,Nederlands,99999,99999,99999,99999,99999,99999,99999,99999,99999,Respondent heeft deze vraag niet beantwoord,"Anders, namelijk…",Geen antwoord
50665339,Noord,Ja,2,1-3 contact,De politie kwam naar mij toe,0,0,0,0,0,"Anders, namelijk.....",0,0,0,0,Overig,0,0,0,0,0,0,0,0,Zeer onterecht,niks verkeerd,0,0,0,0,0,0,0,0,0,0,Helemaal mee eens,0,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,Helemaal mee oneens,Helemaal mee oneens,Helemaal mee oneens,6,Man,59,50 tot 64,Surinaams,99999,99999,99999,99999,99999,99999,99999,"Anders, namelijk…",99999,99999,"Lager Beroepsonderwijs (LBO, LTS), VMBO -B of -K",Helemaal mee oneens
49699553,Zuid,Ja,1,1-3 contact,De politie kwam naar mij toe,0,0,0,0,0,"Anders, namelijk.....",0,0,0,0,0,0,0,0,0,0,0,Betrokken bij verkeersongeval,99999,Zeer terecht,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,Niet mee eens en niet mee oneens,0,0,0,"Anders, namelijk....",0,0,0,0,Informatie,0,0,0,0,0,99999,Mee eens,Mee eens,Mee eens,7,Vrouw,38,35 tot 49,Westers,99999,99999,99999,99999,99999,99999,WO,99999,99999,99999,WO,Beetje mee eens
49908126,Nieuw-West,Ja,10,7-30 contact,De politie kwam naar mij toe,0,0,0,0,0,"Anders, namelijk.....",0,0,Om mij thuis op iets aan te spreken,0,0,0,0,0,0,0,0,0,99999,Terecht,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,Niet mee eens en niet mee oneens,0,0,0,"Anders, namelijk....",0,0,0,0,Informatie,0,0,0,0,0,99999,Mee eens,Helemaal mee eens,Mee eens,7,Man,31,20 tot 34,Onbekend,99999,99999,99999,99999,99999,HBO,99999,99999,99999,99999,"MBO, BOL, BBL",Helemaal mee oneens
50786946,Noord,Ja,2,1-3 contact,De politie kwam naar mij toe,0,0,0,0,0,"Anders, namelijk.....",0,0,0,0,0,0,0,Ik was toevallig op een plek waar de politie onderzoek deed,0,0,0,0,99999,Terecht,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,Mee eens,Niets,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,Mee eens,Helemaal mee eens,Mee eens,7,Vrouw,28,20 tot 34,Marokkaans,99999,99999,"Mavo, VMBO-T of gemengde leerweg, ULO, MULO",99999,99999,99999,99999,99999,99999,99999,"Mavo, VMBO-T of gemengde leerweg, ULO, MULO",Beetje mee eens
